Designator,Footprint,Quantity,Value,LCSC Part #
"C1001, C1002, C109, C115, C117, C119, C121, C1402, C403, C701, C702",0805,11,1uf,Basic Part
"C101, C104, C105, C106, C107, C111, C118, C402",1206,8,47uF,C96123
"C102, C103, C110, C112, C113, C114, C116, C120, C1401, C1403, C1404, C1405, C404",0805,13,100nf,C28233
C108,VF_C_Panasonic_ZA_SizeG_VibrationProof,1,220uF,C454357
"C401, C501, C601",1206,3,10uF,C13585
"D1001, D105, D701",D_SMA,3,SMAJ30CA,C83322
"D101, D102, D109, D1103, D1203, D1303, D903",D_SMA,7,SS54,C22452
D103,D_SOD-323,1,1N5819WS,C191023
"D104, D106, D107, D1102, D112, D113, D1202, D1302, D902",0603,9,LED,C72043
"D108, D110",D_MiniMELF,2,ZMM3V3-M,C8056
"D1101, D1201, D1301, D1501, D901",D_MiniMELF,5,ZMM5V6-M,C8062
D111,SOT-363_L2.0-W1.3-P0.65-LS2.1-BR,1,SMF05CT1G,C15879
"D1601, D801",D_SOD-123,2,1N4148W,
FB401,0805,1,300m,C1017
FH101,FUSE-TH_L24.8-W9.8-P22.60,1,FH1-200CK-B,C268205
"H201, H202, H203, H204",MountingHole_3.2mm_M3,4,MountingHole,
"J1001, J701",55551621,2,RJ45,C305976
"J1002, J702",PinHeader_2x04_P2.54mm_Vertical,2,Conn_02x04_Counter_Clockwise,
"J1003, J703",DSUB-TH_Z-SUBDRBM602A002,2,DA15_Plug,C235810
J101,CONN-TH_B8B-XH-A-LF-SN,1,B8B-XH-A (LF)(SN),C157972
"J102, J103, J106",CONN-TH_B4B-XH-A-LF-SN,3,Conn_01x04,C144395
J107,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,C492420
J108,PinHeader_1x02_P2.54mm_Vertical,1,Aux1_Iso,
J109,PinHeader_1x02_P2.54mm_Vertical,1,Aux2_Iso,
"JP1401, JP1402, JP1403, JP1404, JP1405, JP1406, JP1407, JP1408",SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,8,Jumper_2_Bridged,
L101,VF_L_MDA_1040,1,47uH,C2847557
"Q1101, Q1102, Q1201, Q1202, Q1301, Q1302, Q1501, Q1502, Q1503, Q1504, Q1505, Q1506, Q901, Q902",SOT-23,14,AO3401A,C15127
"Q1103, Q1203, Q1303, Q903",SOT-23,4,AO3400A,C20917
"R1001, R1002, R101, R102, R103, R104, R105, R106, R111, R112, R118, R119, R121, R122, R123, R124, R402, R701, R702",0805,19,4K7,C17673
"R1003, R1004, R703, R704",0402,4,4k7,C25900
"R107, R108",0402,2,5K6,C25908
"R1101, R1201, R1301, R1501, R901",0805,5,3K6,C18359
"R1102, R1104, R113, R116, R117, R120, R1202, R1204, R125, R1302, R1304, R1502, R501, R601, R902, R904",0805,16,10K,C17414
"R1103, R1203, R1303, R903",0402,4,1K,C11702
"R126, R1601, R801",0805,3,3K,C17661
R127,0805,1,100K,C149504
"R1602, R802",0805,2,33K,C17633
"R1603, R803",0805,2,1K2,C17379
"R1604, R804",0805,2,1K,C17379
R401,0805,1,10R,C17415
"R502, R602",0805,2,2K7,C17530
"RV101, RV102, RV103, RV104, RV1601, RV501, RV601, RV801",Potentiometer_Bourns_3296Y_Vertical,8,1K,C83688
"SW101, SW102",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,TS-1187A-B-A-B,C318884
"TP1001, TP701",TestPoint_Pad_2.0x2.0mm,2,ThreshA,
TP101,TestPoint_Pad_2.0x2.0mm,1,TP+5v,
TP102,TestPoint_Pad_2.0x2.0mm,1,TP+3.3,
TP103,TestPoint_Pad_2.0x2.0mm,1,TP+PwrIn,
TP104,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,IO_45,
TP105,TestPoint_Pad_2.0x2.0mm,1,TP+24,
TP106,TestPoint_Pad_2.0x2.0mm,1,TP_GND,
"TP107, TP108, TP109, TP110",TestPoint_Pad_2.0x2.0mm,4,SW_GND,
TP112,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,IO_8,
TP113,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,TP_Aux1,
TP114,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,TP_Aux2,
"U101, U105, U107, U108",CONN-TH_2P-P7.62_MAX_MX25C-7.62-BK01-02P-CU-S-A,4,MX25C-7.62-BK01-02P-CU-S-A,C5188509
U102,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U103,TO-263-5_TabPin3,1,LM2596S-5,
"U104, U106",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,2,MAX6675ISA+T,C16030
U109,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1(N16R2),C2913205
"U1601, U801",SOIC-8_3.9x4.9mm_P1.27mm,2,LM334M,
U3,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,1,SP3232EEY-L/TR,C13482
U401,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
USBC101,USB-C-SMD_TYPE-C-USB-18,1,105450-0101,C134092
