Designator,Mid X,Mid Y,Rotation,Layer
C1001,150.01,-120.2,90.0,top
C1002,150.01,-114.49,270.0,top
C101,52.584,-126.883,180.0,top
C102,48.387,-130.175,0.0,top
C103,59.055,-135.89,270.0,top
C104,61.468,-135.333,270.0,top
C105,30.994,-125.183,90.0,top
C106,34.804,-125.183,90.0,top
C107,38.614,-125.183,90.0,top
C108,52.584,-97.038,270.0,top
C109,50.364,-106.563,180.0,top
C110,50.364,-103.553,180.0,top
C111,42.424,-125.183,90.0,top
C112,81.534,-147.828,180.0,top
C113,30.48,-61.508,90.0,top
C114,30.988,-86.214,90.0,top
C115,104.145,-52.08,0.0,top
C116,64.77,-148.717,180.0,top
C117,95.255,-52.08,0.0,top
C118,69.977,-105.537,270.0,top
C119,72.39,-106.045,90.0,top
C120,74.549,-106.045,90.0,top
C121,67.183,-102.87,270.0,top
C1401,142.748,-93.98,180.0,top
C1402,136.652,-91.948,270.0,top
C1403,150.368,-93.98,0.0,top
C1404,149.352,-90.932,90.0,top
C1405,149.86,-87.884,0.0,top
C401,109.445,-90.478,0.0,top
C402,109.65,-83.62,0.0,top
C403,109.65,-81.08,180.0,top
C404,109.65,-79.048,180.0,top
C501,116.898,-72.7605,90.0,top
C601,116.898,-78.499,270.0,top
C701,150.01,-48.27,90.0,top
C702,150.01,-42.56,270.0,top
D1001,152.494002,-108.750975,180.0,top
D101,48.774,-123.073,180.0,top
D102,44.964,-115.453,270.0,top
D103,33.909,-140.843,180.0,top
D104,26.24,-114.808,0.0,top
D105,39.37,-72.495,180.0,top
D106,25.6775,-129.921,0.0,top
D107,25.447,-101.346,0.0,top
D108,103.51,-54.62,0.0,top
D109,39.37,-67.945,180.0,top
D110,93.985,-54.62,180.0,top
D1101,128.674,-97.1775,0.0,top
D1102,123.086,-102.2575,270.0,top
D1103,125.349,-105.664,180.0,top
D111,37.084,-143.51,180.0,top
D112,107.2135,-109.22,180.0,top
D113,107.0845,-116.459,180.0,top
D1201,128.26935,-39.927,0.0,top
D1202,122.68135,-45.007,270.0,top
D1203,125.476,-48.387,180.0,top
D1301,128.62685,-24.77325,0.0,top
D1302,123.03885,-29.85325,270.0,top
D1303,126.111,-33.274,180.0,top
D1501,47.315,-72.685,0.0,top
D1601,138.0725,-143.827499,0.0,top
D701,152.494002,-36.820975,180.0,top
D801,124.205,-56.515,0.0,top
D901,128.674,-112.392,0.0,top
D902,123.086,-117.472,270.0,top
D903,126.778,-120.777,180.0,top
FB401,108.126,-86.8185,90.0,top
FH101,47.625,-50.8,90.0,top
J1001,158.9,-152.7125,90.0,top
J1002,143.025,-133.855,90.0,top
J1003,162.71,-115.59,90.0,top
J101,71.6775,-120.6825,90.0,top
J102,25.4,-58.734,270.0,top
J103,25.908,-83.546,270.0,top
J106,40.453,-161.29,0.0,top
J107,111.252,-110.236,0.0,top
J108,102.24,-73.035,180.0,top
J109,94.62,-70.495,0.0,top
J701,158.9,-80.7825,90.0,top
J702,143.025,-61.925,90.0,top
J703,162.71,-43.66,90.0,top
L101,37.344,-116.088,270.0,top
Q1101,130.64,-101.671,270.0,top
Q1102,126.19,-101.671,270.0,top
Q1103,134.77,-101.671,90.0,top
Q1201,130.23535,-44.4205,270.0,top
Q1202,125.78535,-44.4205,270.0,top
Q1203,134.36535,-44.4205,90.0,top
Q1301,130.59285,-29.26675,270.0,top
Q1302,126.14285,-29.26675,270.0,top
Q1303,134.72285,-29.26675,90.0,top
Q1501,44.1175,-85.715,180.0,top
Q1502,44.1175,-81.265,180.0,top
Q1503,44.1175,-76.815,180.0,top
Q1504,51.405,-76.82,0.0,top
Q1505,51.405,-81.27,0.0,top
Q1506,51.405,-85.72,0.0,top
Q901,130.64,-116.8855,270.0,top
Q902,126.19,-116.8855,270.0,top
Q903,134.77,-116.8855,90.0,top
R1001,152.55,-120.1625,270.0,top
R1002,152.55,-114.5275,270.0,top
R1003,154.58,-117.98,180.0,top
R1004,154.58,-116.71,180.0,top
R101,66.0635,-111.7854,0.0,top
R102,66.0635,-114.2238,0.0,top
R103,66.0635,-116.6622,0.0,top
R104,65.96,-119.1006,0.0,top
R105,66.0635,-121.539,0.0,top
R106,66.0635,-123.9774,0.0,top
R107,34.163,-148.844,0.0,top
R108,34.163,-147.574,180.0,top
R1101,128.674,-94.6375,0.0,top
R1102,133.246,-96.6695,90.0,top
R1103,134.262,-104.2895,180.0,top
R1104,123.086,-98.7015,270.0,top
R111,26.3125,-111.506,0.0,top
R112,25.781,-126.746,0.0,top
R113,25.4235,-97.917,180.0,top
R116,90.297,-41.148,90.0,top
R117,108.077,-41.148,90.0,top
R118,36.195,-155.3445,270.0,top
R119,39.145,-155.3445,270.0,top
R120,42.095,-155.3445,90.0,top
R1201,128.26935,-37.387,0.0,top
R1202,132.84135,-39.419,90.0,top
R1203,133.85735,-47.039,180.0,top
R1204,122.68135,-41.451,270.0,top
R121,107.3915,-110.998,180.0,top
R122,104.6715,-94.615,180.0,top
R123,104.6715,-91.665,180.0,top
R124,107.3385,-114.554,180.0,top
R125,66.0165,-109.347,0.0,top
R126,116.713,-112.395,270.0,top
R127,78.867,-127.508,270.0,top
R1301,128.62685,-22.23325,0.0,top
R1302,133.19885,-24.26525,90.0,top
R1303,134.21485,-31.88525,180.0,top
R1304,123.03885,-26.29725,270.0,top
R1501,46.3225,-70.145,0.0,top
R1502,50.49,-70.145,0.0,top
R1601,131.7225,-143.1925,180.0,top
R1602,131.7225,-140.0175,180.0,top
R1603,135.5325,-140.0175,180.0,top
R1604,139.3425,-140.0175,180.0,top
R401,107.872,-93.6765,90.0,top
R402,115.8475,-82.55,0.0,top
R501,134.17,-73.468,0.0,top
R502,119.184,-73.3175,270.0,top
R601,134.17,-77.278,0.0,top
R602,119.184,-77.9365,90.0,top
R701,152.55,-48.2325,270.0,top
R702,152.55,-42.5975,270.0,top
R703,154.58,-46.05,180.0,top
R704,154.58,-44.78,180.0,top
R801,117.855,-55.88,180.0,top
R802,117.855,-52.705,180.0,top
R803,121.665,-52.705,180.0,top
R804,125.475,-52.705,180.0,top
R901,128.674,-109.852,0.0,top
R902,133.246,-111.884,90.0,top
R903,134.262,-119.504,180.0,top
R904,123.086,-113.916,270.0,top
RV101,102.235,-59.69,90.0,top
RV102,95.26,-64.79,270.0,top
RV103,102.235,-41.91,90.0,top
RV104,95.895,-47.01,270.0,top
RV1601,139.3425,-149.542499,180.0,top
RV501,124.0,-73.219,180.0,top
RV601,124.0,-80.331,180.0,top
RV801,125.475,-62.23,180.0,top
SW101,109.472,-124.261,0.0,top
SW102,113.665,-103.759,0.0,top
U101,76.454,-158.623,180.0,top
U102,54.102,-133.604,270.0,top
U103,57.434,-113.948,0.0,top
U104,76.454,-145.288,0.0,top
U105,58.039,-158.623,180.0,top
U106,65.151,-144.78,270.0,top
U107,44.45,-29.845,0.0,top
U108,99.625,-29.845,180.0,top
U109,87.376,-114.808,0.0,top
U1601,131.7225,-148.2725,0.0,top
U3,142.748,-89.408,90.0,top
U401,109.65,-76.0,180.0,top
U801,117.855,-60.96,0.0,top
USBC101,26.924,-146.304,270.0,top
